Planning Area of Residence,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over
Queenstown,"95,930","3,980","4,280","4,190","4,120","4,620","5,910","6,640","7,180","7,300","7,430","6,850","6,850","6,260","5,720","5,420","3,480","3,000","1,760",930
River Valley,"10,070",450,610,560,530,410,530,600,850,"1,040","1,080",880,650,570,450,400,220,140,60,60
Rochor,"13,120",410,430,480,520,590,760,920,970,"1,070","1,110",930,960,"1,020",910,790,490,350,230,210
Seletar,300,10,10,20,20,30,10,10,10,20,40,40,30,20,10,10,-,10,-,-
Sembawang,"102,640","6,310","5,820","6,400","6,400","6,030","7,690","9,130","8,570","8,630","8,960","7,310","6,720","5,530","3,790","2,370","1,330",900,520,260
Sengkang,"249,370","16,380","17,600","15,930","13,630","13,180","14,320","21,500","25,100","22,600","20,390","15,940","14,960","13,640","10,070","6,820","3,390","2,160","1,130",660
Serangoon,"116,900","3,550","4,380","5,190","6,160","7,520","9,320","8,020","6,930","7,240","8,220","8,390","9,410","10,090","8,410","6,210","3,220","2,470","1,380",810
Simpang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Singapore River,"3,260",210,260,190,120,100,130,180,360,410,380,270,200,140,100,90,50,30,10,20
Southern Islands,"1,940",110,140,110,100,90,90,90,150,170,230,210,190,120,70,30,20,10,-,-
Straits View,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sungei Kadut,750,20,40,40,30,50,50,40,50,40,60,60,60,60,40,40,20,30,10,10
Tampines,"259,900","11,740","11,480","11,990","13,290","17,590","21,840","19,990","18,120","16,880","17,060","18,730","21,570","21,360","16,360","10,540","4,810","3,490","1,950","1,110"
Tanglin,"21,810","1,070","1,590","1,370","1,100","1,000","1,010","1,200","1,630","2,000","2,200","1,760","1,440","1,250","1,100",920,510,340,200,140
Tengah,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toa Payoh,"121,850","4,350","5,060","5,300","5,480","6,180","8,170","8,360","8,010","8,580","9,490","8,780","9,150","9,320","7,810","6,760","4,370","3,650","1,970","1,070"
Tuas,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Islands,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Water Catchment,640,30,50,20,20,130,50,30,60,70,40,30,50,50,10,-,-,-,-,-
Woodlands,"255,130","11,490","12,540","14,460","17,110","21,430","20,740","18,160","17,730","17,910","20,320","21,560","20,200","15,890","10,830","6,980","3,530","2,410","1,260",580
Yishun,"221,610","11,670","11,480","10,950","11,250","13,020","16,710","18,780","17,930","16,220","15,820","15,350","17,760","15,820","12,110","7,980","3,960","2,670","1,420",730
